rnd,pick,team,player,pos,school,state,bonus
9,274,Nationals,Joey Harris,C,Gonzaga,WA,"$10,000 "
9,275,Giants,Caleb Baragar,LHP,Indiana,IN,"$20,000 "
9,276,Angels,Michael Barash,C,Texas A&M,TX,"$20,000 "
9,277,Astros,Ryan Hartman,LHP,Tennessee Wesleyan,TN,"$10,000 "
9,278,Yankees,Tim Lynch,1B,Southern Mississippi,MS,"$10,000 "
9,279,Rangers,Hever Bueno,RHP,Arizona State,AZ,"$164,300 "
9,280,Mets,Colin Holderman,RHP,Heartland (Ill.) CC,IL,"$400,000 "
9,281,Dodgers,Tony Gonsolin,RHP,St. Mary's,CA,"$2,500 "
9,282,Blue Jays,Nick Hartman,RHP,Old Dominion,VA,"$163,100 "
9,283,Royals,Walker Sheller,RHP,Stetson,FL,"$115,000 "
9,284,Cubs,Duncan Robinson,RHP,Dartmouth,NH,"$30,000 "
9,285,Pirates,Clark Eagan,OF,Arkansas,AR,"$160,000 "
9,286,Cardinals,Matt Fiedler,OF,Minnesota,MN,"$100,000 "
10,287,Phillies,Julian Garcia,RHP,Metro State (Colo.),CO,"$80,000 "
10,288,Reds,Lucas Benenati,RHP,Kansas State,KS,"$5,000 "
10,289,Braves,Marcus Mooney,SS,South Carolina,SC,"$5,000 "
10,290,Rockies,Vince Fernandez,OF,UC Riverside,CA,"$160,100 "
10,291,Brewers,Blake Fox,LHP,Rice,TX,"$10,000 "
10,292,Athletics,Mitchell Jordan,RHP,Stetson,FL,"$200,000 "
10,293,Marlins,Dylan Lee,LHP,Fresno State,CA,"$10,000 "
10,294,Padres,Boomer White,2B,Texas A&M,TX,"$30,000 "
10,295,Tigers,Sam Machonis,OF,Florida Southern,FL,"$25,000 "
10,296,White Sox,Zach Remillard,3B,Coastal Carolina,SC,"$10,000 "
10,297,Mariners,David Greer,3B,Arizona State,AZ,"$135,000 "
10,298,Red Sox,Santiago Espinal,SS,Miami-Dade JC,FL,"$50,000 "
10,299,Diamondbacks,Stephen Smith,OF,Texas Tech,TX,"$156,000 "
10,300,Rays,Spencer Jones,RHP,Washington,WA,"$7,500 "
10,301,Orioles,Cody Dube,RHP,Keene State (N.H.),NH,"$5,000 "
10,302,Indians,Samad Taylor,SS,Corona (Calif.) HS,CA,"$125,000 "
10,303,Twins,Brandon Lopez,SS,Miami,FL,"$30,000 "
10,304,Nationals,Paul Panaccione,SS,Grand Canyon (Ariz.),AZ,"$10,000 "
10,305,Giants,Alex Bostic,LHP,Clemson,SC,"$156,600 "
10,306,Angels,Andrew Vinson,RHP,Texas A&M,TX,"$10,000 "
10,307,Astros,Dustin Hunt,RHP,Northeastern,MA,"$130,000 "
10,308,Yankees,Trevor Lane,LHP,Illinois-Chicago,IL,"$10,000 "
10,309,Rangers,Josh Merrigan,OF,Georgia-Gwinnett,GA,"$5,000 "
10,310,Mets,Gene Cone,OF,South Carolina,SC,"$150,000 "
10,311,Dodgers,Kevin Lachance,SS,Maryland-Baltimore County,MD,"$2,500 "
10,312,Blue Jays,Kirby Snead,LHP,Florida,FL,"$125,000 "
10,313,Royals,Richard Lovelady,LHP,Kennesaw State,GA,"$100,000 "
10,314,Cubs,Dakota Mekkes,RHP,Michigan State,MI,"$275,000 "
10,315,Pirates,Matt Anderson,RHP,Morehead State,KY,"$10,000 "
10,316,Cardinals,Danny Hudzina,3B,Western Kentucky,KY,"$3,000 "
11,317,Phillies,Josh Stephen,OF,"Mater Dei HS, Santa Ana, Calif.",CA,"$600,000 "
11,318,Reds,Joel Kuhnel,RHP,Texas-Arlington,TX,"$125,000 "
11,319,Braves,Matt Rowland,RHP,"Pope HS, Marietta, Ga.",GA,"$400,000 "
11,320,Rockies,Bryan Baker,RHP,North Florida,FL,"$100,000 "
11,321,Brewers,Chad McClanahan,3B,"Brophy Prep, Phoenix",AZ,"$1,200,000 "
11,322,Athletics,Eli White,SS,Clemson,SC,"$100,000 "
11,323,Marlins,Chad Smith,RHP,Mississippi,MS,"$100,000 "
11,324,Padres,Tre Carter,OF,Soddy-Daisy (Tenn.) HS,TN,"$100,000 "
11,325,Tigers,Zac Houston,RHP,Mississippi State,MS,"$190,000 "
11,326,White Sox,Ian Hamilton,RHP,Washington State,WA,"$101,800 "
11,327,Mariners,Michael Koval,RHP,Cal Poly Pomona,CA,"$100,000 "
11,328,Red Sox,Nick Quintana,SS,"Arbor View HS, Las Vegas",NV,Pool
11,329,Diamondbacks,Jake Polancic,RHP,"Yale SS, Abbotsford, B.C.",BC,"$100,000 "
11,330,Rays,Zack Thompson,LHP,"Wapahani HS, Selma, Ind.",IN,Pool
11,331,Orioles,Zach Muckenhirn,LHP,North Dakota,ND,"$100,000 "
11,332,Indians,Andrew Calica,OF,UC Santa Barbara,CA,"$100,000 "
